,Year,To_Country,Participant,Song,Total_Points,Round,Rank,Winner,danceability,wins_up_to_the_year,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,"Moldova, Republic of",Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,won_last_year,Total_Participations_Up_To_The_Year,Top3_Count
6,1957,Netherlands,Corry Brokken,Net Als Toen,31,Final,1,1,0.393,1,0.279,8.0,-10.192,1.0,0.0418,0.818,0.0,0.0955,0.501,122.573,205107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
8,1957,France,Paule Desjardins,La Belle Amour,17,Final,2,0,0.398,0,0.204,5.0,-13.227,0.0,0.0542,0.956,0.000122,0.144,0.686,178.295,279147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
5,1957,Denmark,Birthe Wilke and Gustav Winckler,Skibet Skal Sejle I Nat,10,Final,3,0,0.469,0,0.258,4.0,-11.688,1.0,0.0317,0.959,0.0,0.072,0.44,94.439,226782.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
2,1957,Luxembourg,Danièle Dupré,Tant De Peine,8,Final,4,0,0.71,0,0.636,2.0,-7.371,1.0,0.0318,0.00305,0.0939,0.113,0.656,103.994,208667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
7,1957,Germany,Margot Hielscher,"Telefon, Telefon",8,Final,4,0,0.353,0,0.131,10.0,-20.278,1.0,0.047,0.952,2.9e-05,0.388,0.699,174.675,182063.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
4,1957,Italy,Nunzio Gallo,Corde Della Mia Chitarra,7,Final,6,0,0.386,0,0.0562,7.0,-21.822,1.0,0.045,0.976,8.08e-05,0.164,0.213,96.57,205960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
3,1957,United Kingdom,Patricia Bredin,All,6,Final,7,0,0.207,0,0.0113,1.0,-28.482,1.0,0.0413,0.993,0.932,0.111,0.0367,74.067,250648.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
0,1957,Switzerland,Lys Assia,L'enfant Que J'étais,5,Final,8,0,0.4,1,0.338,7.0,-9.059,1.0,0.0379,0.903,0.0,0.223,0.633,179.077,125133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
1,1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,5,Final,8,0,0.538,0,0.517,10.0,-8.983,1.0,0.268,0.67,0.00542,0.124,0.823,181.517,165173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
9,1957,Austria,Bob Martin,"Wohin, Kleines Pony",3,Final,10,0,0.941,0,0.462,11.0,-11.029,0.0,0.282,0.129,9.82e-05,0.114,0.758,123.674,211427.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
12,1958,France,André Claveau,Dors Mon Amour,27,Final,1,1,0.243,1,0.314,8.0,-14.65,1.0,0.0446,0.926,3.42e-06,0.136,0.22,170.418,192012.0,0,0,0,7,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0,2.0
19,1958,Switzerland,Lys Assia,Giorgio,24,Final,2,0,0.469,1,0.563,0.0,-7.984,1.0,0.0358,0.777,1.46e-06,0.369,0.901,157.777,186907.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0.0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.0,1.0
10,1958,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,13,Final,3,0,0.518,0,0.06,10.0,-14.887,1.0,0.0441,0.987,7.87e-06,0.161,0.336,127.87,216373.0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0,1.0
14,1958,Sweden,Alice Babs,Lilla Stjärna,10,Final,4,0,0.718,0,0.418,8.0,-12.086,1.0,0.0976,0.841,3.33e-05,0.29,0.911,142.874,200707.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0,0.0
16,1958,Belgium,Fud Leclerc,Ma Petite Chatte,8,Final,5,0,0.408,0,0.116,2.0,-17.447,1.0,0.0631,0.758,0.0,0.0797,0.697,180.108,140293.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0,0.0
18,1958,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,8,Final,5,0,0.654,0,0.772,5.0,-7.386,1.0,0.0523,0.0209,9.56e-05,0.199,0.743,119.995,200000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2.0,0.0
17,1958,Germany,Margot Hielscher,Für Zwei Groschen Musik,5,Final,7,0,0.558,0,0.568,5.0,-2.979,1.0,0.0422,0.648,0.0,0.0403,0.716,80.027,178040.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0.0
15,1958,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,3,Final,8,0,0.315,0,0.383,11.0,-6.914,0.0,0.0342,0.887,0.0,0.243,0.269,122.448,203613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,1.0
11,1958,Netherlands,Corry Brokken,Heel De Wereld,1,Final,9,0,0.226,1,0.313,8.0,-9.587,1.0,0.0338,0.7,0.000395,0.106,0.294,171.396,170753.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,1.0
13,1958,Luxembourg,Solange Berry,Un Grand Amour,1,Final,9,0,0.166,0,0.18,9.0,-21.892,0.0,0.0469,0.872,0.743,0.109,0.0361,107.773,59893.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0.0
23,1959,Netherlands,Teddy Scholten,Een Beetje,21,Final,1,1,0.546,2,0.329,5.0,-10.309,0.0,0.0664,0.795,0.0,0.0723,0.467,132.531,179374.0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0
29,1959,United Kingdom,Pearl Carr and Teddy Johnson,Sing Little Birdie,16,Final,2,0,0.944,0,0.518,8.0,-8.884,1.0,0.0491,0.184,0.904,0.0816,0.943,112.366,103473.0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.0,1.0
20,1959,France,Jean Philippe,"Oui, Oui, Oui, Oui",15,Final,3,0,0.298,1,0.0383,5.0,-30.814,1.0,0.0523,0.938,3.64e-06,0.14,0.0829,124.984,301320.0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,3.0
26,1959,Switzerland,Christa Williams,Irgendwoher,14,Final,4,0,0.787,1,0.743,6.0,-9.34,1.0,0.0581,0.248,7.07e-06,0.242,0.692,110.137,303707.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3.0,1.0
24,1959,Denmark,Birthe Wilke,Uh-jeg Ville Ønske Jeg Var Dig,12,Final,5,0,0.662,0,0.179,5.0,-20.785,1.0,0.148,0.937,6.11e-05,0.0961,0.649,125.469,158930.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,3.0,1.0
21,1959,Italy,Domenico Modugno,Piove,9,Final,6,0,0.53,0,0.303,2.0,-11.726,1.0,0.0522,0.631,1.35e-06,0.208,0.513,137.462,142733.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3.0,1.0
28,1959,Belgium,Bob Benny,Hou Toch Van Mij,9,Final,6,0,0.602,0,0.54,4.0,-10.818,1.0,0.0372,0.271,5.49e-05,0.123,0.645,151.079,213547.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.0,0.0
30,1959,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,5,Final,8,0,0.0896,0,0.18,7.0,-16.593,1.0,0.0383,0.916,0.917,0.234,0.281,169.859,208933.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.0
25,1959,Sweden,Brita Borg,Augustin,4,Final,9,0,0.413,0,0.545,8.0,-12.199,1.0,0.113,0.611,0.912,0.076,0.0546,119.053,236283.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0
27,1959,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,4,Final,9,0,0.396,0,0.286,6.0,-11.494,0.0,0.0283,0.548,8.51e-06,0.122,0.605,105.289,143867.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3.0,0.0
22,1959,Monaco,Jacques Pills,Mon Ami Pierrot,1,Final,11,0,0.359,0,0.12,10.0,-21.81,1.0,0.027,0.979,0.893,0.111,0.179,87.172,146239.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
42,1960,France,Jacqueline Boyer,Tom Pillibi,32,Final,1,1,0.418,2,0.353,11.0,-10.04,0.0,0.0341,0.819,0.0,0.333,0.541,137.196,183040.0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,5,0,2,0,5,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0,4.0,4.0
31,1960,United Kingdom,Bryan Johnson,"Looking High, High, High",25,Final,2,0,0.734,0,0.592,5.0,-7.126,0.0,0.0399,0.292,0.157,0.299,0.729,87.009,196288.0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0,0,0,5,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3.0,2.0
37,1960,Monaco,François Deguelt,Ce Soir-là,15,Final,3,0,0.264,0,0.467,10.0,-7.513,0.0,0.0327,0.747,0.0,0.214,0.37,98.845,214987.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,7,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2.0,1.0
40,1960,Germany,Wyn Hoop,"Bonne Nuit, Ma Chérie!",11,Final,4,0,0.632,0,0.621,9.0,-12.443,1.0,0.0487,0.452,0.00231,0.199,0.973,140.265,155039.0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,0.0
36,1960,Norway,Nora Brockstedt,Voi-voi,11,Final,4,0,0.734,0,0.299,7.0,-9.673,0.0,0.0449,0.88,1e-05,0.0702,0.598,79.003,138173.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1.0,0.0
35,1960,Belgium,Fud Leclerc,Mon Amour Pour Toi,9,Final,6,0,0.807,0,0.583,7.0,-9.178,0.0,0.031,0.0652,0.00261,0.356,0.354,118.28,155279.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4.0,0.0
43,1960,Austria,Harry Winter,Du Hast Mich So Fasziniert,6,Final,7,0,0.18,0,0.228,11.0,-16.764,0.0,0.0387,0.95,0.951,0.104,0.0365,87.504,178813.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.0,0.0
38,1960,Switzerland,Anita Traversi,Cielo E Terra,5,Final,8,0,0.453,1,0.295,2.0,-9.393,1.0,0.0331,0.948,4.66e-05,0.377,0.357,81.552,140747.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0
41,1960,Italy,Renato Rascel,Romantica,5,Final,8,0,0.244,0,0.274,1.0,-12.943,1.0,0.0341,0.967,0.0158,0.0798,0.153,87.184,322147.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0
32,1960,Sweden,Siw Malmkvist,Alla Andra Får Varann,4,Final,10,0,0.8,0,0.692,7.0,-8.586,1.0,0.0642,0.429,0.000184,0.096,0.726,89.788,125240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0
34,1960,Denmark,Katy Bødtger,Det Var En Yndig Tid,4,Final,10,0,0.377,0,0.352,5.0,-9.488,0.0,0.0356,0.985,0.00499,0.292,0.399,103.345,215435.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1.0
39,1960,Netherlands,Rudi Carrell,Wat Een Geluk,2,Final,12,0,0.688,2,0.493,8.0,-12.249,1.0,0.107,0.784,0.0242,0.314,0.834,136.275,151320.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,2.0
33,1960,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,1,Final,13,0,0.846,0,0.78,2.0,-5.948,1.0,0.204,0.00813,4.86e-05,0.081,0.847,90.0,218960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0
57,1961,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,31,Final,1,1,0.418,1,0.281,9.0,-12.761,0.0,0.0351,0.961,5.75e-05,0.115,0.251,116.433,187107.0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,1,0,5,0,0,0,0,0,3,0.0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,4.0,1.0
51,1961,United Kingdom,The Allisons,Are You Sure?,24,Final,2,0,0.536,0,0.365,8.0,-10.505,1.0,0.0289,0.747,0.0,0.105,0.843,84.569,125091.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,4.0,3.0
53,1961,Switzerland,Franca di Rienzo,Nous Aurons Demain,16,Final,3,0,0.575,1,0.622,5.0,-7.271,1.0,0.0399,0.293,1.89e-06,0.13,0.494,120.012,182840.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,5.0,2.0
