,Year,Country,Participant,Song,Points,Competition,Qualified,Rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,2023,Norway,Alessandra,Queen of Kings,102,First Semi-Final,yes,6th,0.563,0.908,4,-4.25,0,0.0868,0.0696,0,0.328,0.171,125.972,147980
1,2023,Malta,The Busker,Dance (Our Own Party),3,First Semi-Final,no,15th,0.695,0.778,5,-5.634,0,0.0407,0.0217,0.00359,0.182,0.824,103.015,169515
2,2023,Serbia,Luke Black,Samo Mi Se Spava,37,First Semi-Final,yes,10th,0.551,0.73,9,-8.288,1,0.0575,0.00839,0.00348,0.443,0.124,103.031,173592
3,2023,Latvia,Sudden Lights,Aijā,34,First Semi-Final,no,11th,0.556,0.548,9,-7.513,0,0.0694,0.0523,0.00011,0.0781,0.398,160.071,180782
4,2023,Portugal,Mimicat,Ai Coração,74,First Semi-Final,yes,9th,0.664,0.626,6,-8.197,0,0.0515,0.31,5.32e-06,0.163,0.766,145.14,174123
5,2023,Ireland,Wild Youth,We Are One,10,First Semi-Final,no,12th,0.468,0.661,2,-6.563,1,0.0344,0.0575,9.64e-05,0.0876,0.119,112.229,183431
6,2023,Croatia,Let 3,Mama ŠČ!,76,First Semi-Final,yes,8th,0.603,0.781,0,-6.865,1,0.0857,0.156,0,0.209,0.628,135.05,154778
7,2023,Switzerland,Remo Forrer,Watergun,97,First Semi-Final,yes,7th,0.496,0.357,8,-13.42,0,0.0351,0.211,1.28e-06,0.171,0.418,137.96,172555
8,2023,Israel,Noa Kirel,Unicorn,127,First Semi-Final,yes,3rd,0.681,0.868,6,-5.499,0,0.095,0.0216,0.00023,0.323,0.282,130.126,170900
9,2023,Moldova,Pasha Parfeni,Soarele şi Luna,109,First Semi-Final,yes,5th,0.619,0.857,8,-5.166,1,0.137,0.36,0,0.181,0.335,124.957,178800
10,2023,Sweden,Loreen,Tattoo,135,First Semi-Final,yes,2nd,0.545,0.779,3,-6.235,0,0.0751,0.243,1.66e-06,0.123,0.303,150.002,183375
