,To_Country,Year,Total_Points,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,"Moldova, Republic of",Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
0,Sweden,2023,583,22,17,17,14,20,NaN,18,NaN,NaN,12,20,16,20,22,12,9,11,13,14,NaN,17,18,16,11,NaN,18,19,NaN,22,20,NaN,NaN,20,NaN,20,14,12,18,NaN,12,11,NaN,11,17,,11,NaN,15,17
1,Finland,2023,526,6,14,17,20,11,NaN,17,NaN,NaN,17,10,15,20,22,,14,9,12,10,NaN,22,20,20,6,NaN,12,15,NaN,16,7,NaN,NaN,22,NaN,24,10,10,10,NaN,12,19,NaN,10,13,24,8,NaN,10,12
2,Israel,2023,362,11,24,5,1,24,NaN,15,NaN,NaN,12,19,8,,4,,22,13,,15,NaN,,8,,17,NaN,10,13,NaN,13,10,NaN,NaN,8,NaN,6,17,5,10,NaN,10,17,NaN,,15,5,4,NaN,2,7
3,Italy,2023,350,14,3,1,20,10,NaN,14,NaN,NaN,20,11,5,3,7,6,9,13,14,5,NaN,1,,7,,NaN,3,6,NaN,22,15,NaN,NaN,3,NaN,13,6,6,19,NaN,19,4,NaN,20,16,13,18,NaN,2,2
4,Norway,2023,268,4,8,6,7,2,NaN,8,NaN,NaN,5,5,7,20,7,12,1,2,11,6,NaN,12,5,20,10,NaN,3,,NaN,9,6,NaN,NaN,7,NaN,,8,5,5,NaN,5,5,NaN,5,10,18,6,NaN,7,7
5,Ukraine,2023,243,,4,,5,9,NaN,1,NaN,NaN,,10,24,7,15,,5,10,7,,NaN,2,7,15,18,NaN,11,12,NaN,5,18,NaN,NaN,,NaN,1,12,12,4,NaN,6,,NaN,,10,4,,NaN,,4
6,Belgium,2023,182,5,,15,3,,NaN,,NaN,NaN,,,,9,6,5,2,12,2,12,NaN,11,13,3,2,NaN,2,7,NaN,,,NaN,NaN,14,NaN,4,5,7,2,NaN,7,,NaN,7,7,7,,NaN,,13
7,Estonia,2023,168,8,,8,,1,NaN,,NaN,NaN,3,,2,,,6,,5,10,,NaN,,,5,6,NaN,18,10,NaN,,7,NaN,NaN,5,NaN,,8,8,8,NaN,10,,NaN,10,7,2,10,NaN,5,6
8,Australia,2023,151,3,,,,5,NaN,4,NaN,NaN,,8,7,2,14,8,,2,8,5,NaN,15,4,,,NaN,,4,NaN,,5,NaN,NaN,1,NaN,5,4,12,3,NaN,5,,NaN,4,,1,2,NaN,8,12
9,Czechia,2023,129,,,,5,3,NaN,3,NaN,NaN,3,1,,,,18,4,,5,1,NaN,6,3,6,9,NaN,1,,NaN,,1,NaN,NaN,8,NaN,4,3,7,,NaN,,5,NaN,6,,6,12,NaN,9,
10,Lithuania,2023,127,,,10,7,,NaN,,NaN,NaN,,,,4,6,,,10,1,,NaN,,11,,3,NaN,17,,NaN,4,,NaN,NaN,,NaN,,4,,,NaN,10,,NaN,8,,,,NaN,14,18
11,Cyprus,2023,126,11,13,11,2,6,NaN,,NaN,NaN,,,,7,,1,,3,,16,NaN,,,1,,NaN,6,1,NaN,5,7,NaN,NaN,,NaN,9,14,,7,NaN,5,,NaN,,,1,,NaN,,
12,Croatia,2023,123,8,,4,10,,NaN,,NaN,NaN,,,4,,,4,,1,6,,NaN,5,2,6,4,NaN,4,4,NaN,,,NaN,NaN,,NaN,,6,3,,NaN,,18,NaN,12,,5,6,NaN,8,
13,Armenia,2023,122,10,,,1,,NaN,6,NaN,NaN,,8,10,,3,,19,22,,2,NaN,,6,3,5,NaN,1,,NaN,,4,NaN,NaN,,NaN,,1,,,NaN,,,NaN,,5,,5,NaN,,3
14,Austria,2023,120,,2,13,,,NaN,12,NaN,NaN,,10,,7,,4,10,,2,7,NaN,8,,6,,NaN,,8,NaN,1,,NaN,NaN,5,NaN,,,,,NaN,6,9,NaN,3,,,7,NaN,,
15,France,2023,104,3,17,2,,,NaN,3,NaN,NaN,,3,,6,,7,,,,3,NaN,4,5,1,,NaN,,7,NaN,1,,NaN,NaN,3,NaN,8,,2,3,NaN,,5,NaN,3,5,12,,NaN,,
16,Spain,2023,100,1,6,4,,7,NaN,6,NaN,NaN,6,6,3,,2,,,,7,,NaN,3,,,,NaN,8,,NaN,,3,NaN,NaN,7,NaN,1,,13,,NaN,2,3,NaN,2,,,3,NaN,,5
17,Moldova,2023,96,,,,,,NaN,,NaN,NaN,3,1,5,1,,3,8,3,,,NaN,,4,5,12,NaN,,2,NaN,,,NaN,NaN,,NaN,8,,8,19,NaN,6,,NaN,,1,,,NaN,6,1
18,Poland,2023,93,1,6,,,,NaN,6,NaN,NaN,,2,,5,3,,,,4,,NaN,7,8,2,,NaN,,8,NaN,,4,NaN,NaN,2,NaN,6,,,1,NaN,1,,NaN,1,,,,NaN,18,8
19,Switzerland,2023,92,7,2,,6,5,NaN,,NaN,NaN,,2,,4,4,11,3,,3,2,NaN,,,,5,NaN,,,NaN,6,,NaN,NaN,6,NaN,7,2,2,,NaN,,,NaN,1,,14,,NaN,,
20,Slovenia,2023,78,2,,1,6,5,NaN,,NaN,NaN,17,,9,,1,7,,,,,NaN,,,,,NaN,2,,NaN,,,NaN,NaN,,NaN,,2,,2,NaN,,20,NaN,,,,,NaN,3,1
21,Albania,2023,76,,,,3,8,NaN,3,NaN,NaN,6,,,,,,,,8,7,NaN,,,,7,NaN,,,NaN,3,1,NaN,NaN,,NaN,,,,5,NaN,,,NaN,7,,,12,NaN,,
22,Portugal,2023,59,,,2,,,NaN,,NaN,NaN,1,,,,,3,10,,,10,NaN,,,,,NaN,,,NaN,3,8,NaN,NaN,5,NaN,,,,,NaN,,,NaN,,10,,7,NaN,,
23,Serbia,2023,30,,,,,,NaN,,NaN,NaN,11,,,,,,,,3,1,NaN,1,,,1,NaN,,,NaN,2,,NaN,NaN,,NaN,,,4,,NaN,,,NaN,6,,,1,NaN,,
24,United Kingdom,2023,24,,,,,,NaN,,NaN,NaN,,,,1,,4,,,,,NaN,,2,,,NaN,,,NaN,4,,NaN,NaN,,NaN,,,,,NaN,,,NaN,,,4,,NaN,9,
25,Germany,2023,18,,,,6,,NaN,,NaN,NaN,,,1,,,5,,,,,NaN,2,,,,NaN,,,NaN,,,NaN,NaN,,NaN,,,,,NaN,,,NaN,,,,4,NaN,,
26,Ukraine,2022,631,17,16,19,12,18,NaN,18,NaN,12,18,19,16,17,12,12,22,18,22,10,NaN,22,15,19,12,NaN,24,24,NaN,8,24,NaN,16,12,8,15,24,20,22,NaN,14,7,NaN,18,12,12,13,NaN,,12
27,United Kingdom,2022,466,14,1,7,20,20,NaN,15,NaN,13,,9,14,12,9,14,14,16,18,5,NaN,14,14,20,12,NaN,11,14,NaN,20,13,NaN,5,12,8,12,11,16,11,NaN,14,1,NaN,2,11,14,11,NaN,19,
