,Year,City,Winner,Participant,Song,Points,Links
0,2023,Liverpool,Sweden,Loreen,Tattoo,583,https://eurovision.tv/event/liverpool-2023
1,2022,Turin,Ukraine,Kalush Orchestra,Stefania,631,https://eurovision.tv/event/turin-2022
2,2021,Rotterdam,Italy,Måneskin,Zitti E Buoni,524,https://eurovision.tv/event/rotterdam-2021
3,2019,Tel Aviv,Netherlands,Duncan Laurence,Arcade,498,https://eurovision.tv/event/tel-aviv-2019
4,2018,Lisbon,Israel,Netta,TOY,529,https://eurovision.tv/event/lisbon-2018
5,2017,Kyiv,Portugal,Salvador Sobral,Amar Pelos Dois,758,https://eurovision.tv/event/kyiv-2017
6,2016,Stockholm,Ukraine,Jamala,1944,534,https://eurovision.tv/event/stockholm-2016
7,2015,Vienna,Sweden,Måns Zelmerlöw,Heroes,365,https://eurovision.tv/event/vienna-2015
8,2014,Copenhagen,Austria,Conchita Wurst,Rise Like a Phoenix,290,https://eurovision.tv/event/copenhagen-2014
9,2013,Malmö,Denmark,Emmelie de Forest,Only Teardrops,281,https://eurovision.tv/event/malmo-2013
10,2012,Baku,Sweden,Loreen,Euphoria,372,https://eurovision.tv/event/baku-2012
11,2011,Düsseldorf,Azerbaijan,Ell/Nikki,Running Scared,221,https://eurovision.tv/event/dusseldorf-2011
12,2010,Oslo,Germany,Lena,Satellite,246,https://eurovision.tv/event/oslo-2010
13,2009,Moscow,Norway,Alexander Rybak,Fairytale,387,https://eurovision.tv/event/moscow-2009
14,2008,Belgrade,Russia,Dima Bilan,Believe,272,https://eurovision.tv/event/belgrade-2008
15,2007,Helsinki,Serbia,Marija Šerifović,Molitva,268,https://eurovision.tv/event/helsinki-2007
16,2006,Athens,Finland,Lordi,Hard Rock Hallelujah,292,https://eurovision.tv/event/athens-2006
17,2005,Kyiv,Greece,Helena Paparizou,My Number One,230,https://eurovision.tv/event/kyiv-2005
18,2004,Istanbul,Ukraine,Ruslana,Wild Dances,280,https://eurovision.tv/event/istanbul-2004
19,2003,Riga,Türkiye,Sertab Erener,,167,https://eurovision.tv/event/riga-2003
20,2002,Tallinn,Latvia,Marie N,,176,https://eurovision.tv/event/tallinn-2002
21,2001,Copenhagen,Estonia,"Tanel Padar, Dave Benton & 2XL",,198,https://eurovision.tv/event/copenhagen-2001
22,2000,Stockholm,Denmark,Olsen brothers,,195,https://eurovision.tv/event/stockholm-2000
23,1999,Jerusalem,Sweden,Charlotte Nilsson,,163,https://eurovision.tv/event/jerusalem-1999
24,1998,Birmingham,Israel,Dana International,Diva,172,https://eurovision.tv/event/birmingham-1998
25,1997,Dublin,United Kingdom,Katrina and The Waves,,227,https://eurovision.tv/event/dublin-1997
26,1996,Oslo,Ireland,Eimear Quinn,,162,https://eurovision.tv/event/oslo-1996
27,1995,Dublin,Norway,Secret Garden,,148,https://eurovision.tv/event/dublin-1995
28,1994,Dublin,Ireland,Paul Harrington and Charlie McGettigan,,226,https://eurovision.tv/event/dublin-1994
29,1993,Millstreet,Ireland,Niamh Kavanagh,,187,https://eurovision.tv/event/millstreet-1993
30,1992,Malmö,Ireland,Linda Martin,,155,https://eurovision.tv/event/malmo-1992
31,1991,Rome,Sweden,Carola,,146,https://eurovision.tv/event/rome-1991
